Match,Game_Number,home,away
Sassuolo-Spezia,30,Sassuolo,Spezia
Venezia-Sampdoria,30,Venezia,Sampdoria
Bologna-Sampdoria,32,Bologna,Sampdoria
Cagliari-Juventus,32,Cagliari,Juventus
Empoli-Spezia,32,Empoli,Spezia
Genoa-Lazio,32,Genoa,Lazio
Inter-Verona,32,Inter,Verona
Napoli-Fiorentina,32,Napoli,Fiorentina
Roma-Salernitana,32,Roma,Salernitana
Sassuolo-Atalanta,32,Sassuolo,Atalanta
Torino-Milan,32,Torino,Milan
Venezia-Udinese,32,Venezia,Udinese
Bologna-Udinese,34,Bologna,Udinese
Empoli-Napoli,34,Empoli,Napoli
Genoa-Cagliari,34,Genoa,Cagliari
Inter-Roma,34,Inter,Roma
Lazio-Milan,34,Lazio,Milan
Salernitana-Fiorentina,34,Salernitana,Fiorentina
Sassuolo-Juventus,34,Sassuolo,Juventus
Torino-Spezia,34,Torino,Spezia
Venezia-Atalanta,34,Venezia,Atalanta
Verona-Sampdoria,34,Verona,Sampdoria
Fiorentina-Roma,36,Fiorentina,Roma
Genoa-Juventus,36,Genoa,Juventus
Inter-Empoli,36,Inter,Empoli
Lazio-Sampdoria,36,Lazio,Sampdoria
Salernitana-Cagliari,36,Salernitana,Cagliari
Sassuolo-Udinese,36,Sassuolo,Udinese
Spezia-Atalanta,36,Spezia,Atalanta
Torino-Napoli,36,Torino,Napoli
Venezia-Bologna,36,Venezia,Bologna
Verona-Milan,36,Verona,Milan
Atalanta-Empoli,38,Atalanta,Empoli
Fiorentina-Juventus,38,Fiorentina,Juventus
Genoa-Bologna,38,Genoa,Bologna
Inter-Sampdoria,38,Inter,Sampdoria
Lazio-Verona,38,Lazio,Verona
Salernitana-Udinese,38,Salernitana,Udinese
Sassuolo-Milan,38,Sassuolo,Milan
Spezia-Napoli,38,Spezia,Napoli
Torino-Roma,38,Torino,Roma
Venezia-Cagliari,38,Venezia,Cagliari
